GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ReservationService,tn.esprit.reservation,ReservationServiceApplication,12,0,0,0,4,0,3,0,3,0
ReservationService,tn.esprit.reservation.controllers,NotificationController,42,0,0,0,7,0,6,0,6,0
ReservationService,tn.esprit.reservation.controllers,BookingController,93,0,0,0,19,0,12,0,12,0
ReservationService,tn.esprit.reservation.controllers,AvailabilityController,109,0,6,0,23,0,14,0,11,0
ReservationService,tn.esprit.reservation.entities,Booking.BookingStatus,0,21,0,0,0,2,0,1,0,1
ReservationService,tn.esprit.reservation.entities,Notification.NotificationBuilder,92,0,4,0,1,0,12,0,10,0
ReservationService,tn.esprit.reservation.entities,Booking.BookingBuilder,61,114,4,4,0,1,9,12,5,12
ReservationService,tn.esprit.reservation.entities,Booking,578,92,117,1,8,12,84,15,25,15
ReservationService,tn.esprit.reservation.entities,Availability,403,118,93,1,1,14,53,24,6,24
ReservationService,tn.esprit.reservation.entities,Availability.AvailabilityBuilder,26,92,1,1,0,1,2,13,1,13
ReservationService,tn.esprit.reservation.entities,Notification.NotificationType,39,0,0,0,7,0,1,0,1,0
ReservationService,tn.esprit.reservation.entities,Notification,354,0,62,0,11,0,54,0,23,0
ReservationService,tn.esprit.reservation.services,AvailabilityService,0,182,0,4,0,35,0,17,0,15
ReservationService,tn.esprit.reservation.services,NotificationService,284,16,30,0,65,2,23,2,8,2
ReservationService,tn.esprit.reservation.services,BookingService,2,401,2,16,0,66,2,30,0,23
ReservationService,tn.esprit.reservation.config,SecurityConfig,150,0,0,0,22,0,8,0,8,0
ReservationService,tn.esprit.reservation.config,WebConfig,49,0,0,0,8,0,2,0,2,0
ReservationService,tn.esprit.reservation.config,SecurityConfig.KeycloakRoleConverter,42,0,8,0,10,0,7,0,3,0
